passenger_id,first_name,last_name,date_of_birth
PAX001,William,Jones,1988-03-12
PAX002,Olivia,Smith,1991-07-24
PAX003,James,Taylor,1975-11-02
PAX004,Emma,Brown,2019-01-15
PAX005,Noah,Williams,1995-05-30
PAX006,Sophia,Miller,1983-09-18
PAX007,Liam,Davis,2021-06-22
PAX008,Ava,Garcia,1990-12-01
PAX009,Oliver,Rodriguez,1987-02-14
PAX010,Isabella,Wilson,1999-08-08
PAX011,Elijah,Martinez,1979-04-25
PAX012,Mia,Anderson,2003-10-03
PAX013,Lucas,Thomas,1993-06-09
PAX014,Charlotte,Jackson,1985-08-21
PAX015,Henry,White,2005-12-19
PAX016,Amelia,Harris,1998-02-27
PAX017,Benjamin,Martin,1980-11-11
PAX018,Harper,Thompson,2015-07-07
PAX019,Theodore,Moore,1996-01-31
PAX020,Evelyn,Clark,1992-04-14
PAX021,Alexander,Lewis,1984-09-05
PAX022,Abigail,Lee,2001-03-23
PAX023,Daniel,Walker,1978-06-17
PAX024,Emily,Hall,1997-10-29
PAX025,Matthew,Allen,1982-12-04
PAX026,Elizabeth,Young,2008-05-16
PAX027,Michael,King,1994-07-28
PAX028,Sofia,Wright,1986-10-10
PAX029,David,Hill,1976-08-13
PAX030,Ella,Scott,2012-11-25
